1,2,3,5,9,10,11,12,22,23,24,,
510,PNE0014332,Nuwara Eliya ,Pundaluoya,Primary Medical Care Unit,Kothmale,,2,"PMCU  Pundaluoya, Kothmale",051-2233389,pmcupundaluoya1@gmail.com,,
511,PNE0014340,Nuwara Eliya ,Ragala,Primary Medical Care Unit,Ragala,,2,"PMCU Ragala, Ragala",052-2265187,,,
512,PNE0014357,Nuwara Eliya ,Rupaha,Primary Medical Care Unit,Ragala,,2,"PMCU Rupaha, Udupussellawa",052-3527829,pmcurupaha2@gmail.com,,
513,PNE0014365,Nuwara Eliya ,Upcot,Primary Medical Care Unit,Maskeliya,,2,"PMCU Upcot, Nuwara Eliya",052-3535859,pmcuupcot@gmail.com,,
514,PNE0014373,Nuwara Eliya ,Widulipura / Nor.Br,Primary Medical Care Unit,Ambagamuwa,,2,"PMCU Nortonbridge, Nuwara Eliya",052-3527203,pmcunortonbridge@gmail.com,,
515,PNE0014381,Nuwara Eliya ,Wijebahukanda,Primary Medical Care Unit,Nawathispane,,2,"PMCU Wijebahukanda, Kothmale",052-3535849,wijebahukandapmcu@gmail.com,,
516,PNE0014522,Nuwara Eliya ,Padiyapelella M.V,ADC,Mathurata,,2,"Dental Clinic, Padiyapelella M.V., Walapane",052-3527830,mathuratamoh@gmail.com,,
517,PNE0014399,Nuwara Eliya ,Ambagamuwa/Ginigathhena,MOH,Ambagamuwa,,2,"MOH Office, Ambagamuwa, Ginigathhena",051-2242278,ambagamuwamoh@gmail.com,,
518,PNE0014407,Nuwara Eliya ,Bogawanthalawa,MOH,Bogawanthalawa,,2,"MOH Office, Bogawanthlawa",052-2267634,mohbogawanthalawa@gmail.com,,
519,PNE0014415,Nuwara Eliya ,Kotagala,MOH,Kotagala,,2,"MOH Office Kotagala, Kotagala",051-2244439,kotagalamoh@gmail.com,,
520,PNE0014423,Nuwara Eliya ,Kothmale,MOH,Kothmale,,2,"MOH Office Kothmale, Kothmale",052-2259627,mohkothmale01@gmail.com,,
521,PNE0014431,Nuwara Eliya ,Lindula (Thalawakelle),MOH,Lindula,,2,"MOH Office Lindula, Thalawakelle",052-2258829,lindulamoh06@gmail.com,,
522,PNE0014449,Nuwara Eliya ,Maskeliya,MOH,Maskeliya,,2,"MOH Office Maskeliya, Maskeliya",052-2277586,maskeliyamoh@hotmail.com,,
523,PNE0014456,Nuwara Eliya ,Mathurata,MOH,Mathurata,,2,"MOH Office Mathurata, Manakola",052-3527830,mathuratamoh@gmail.com,,
524,PNE0014464,Nuwara Eliya ,Nawathispane,MOH,Nawathispane,,2,"MOH Office Nawathispane, Kothmale",054-2050045,mohnawathispane@gmail.com,,
525,PNE0014472,Nuwara Eliya ,Nuwara Eliya ,MOH,Nuwara Eliya,,2,"MOH Office Nuwara Eliya, Hawa Eliya",052-2222278,nuwaraeliyamoh@gmail.com,,
526,PNE0014480,Nuwara Eliya ,Nuwara Eliya MC,MOH,Nuwara Eliya MC,,2,"MOH Office MC, Nuwara Eliya Municipal Council",052-2222275,mcneworks2020@gmail.com,,
527,PNE0014498,Nuwara Eliya ,Ragala,MOH,Ragala,,2,"MOH Office Ragala, Ragala",052-2265416,ragalamoh@gmail.com,,
528,PNE0014506,Nuwara Eliya ,Rikillagaskada/Hanguranketha,MOH,Hanguranketha,,2,"MOH Office Hanguranketha, Rikillagaskada",081-2365292,mohhagu@gmail.com,,
530,PNE0014514,Nuwara Eliya ,Walapane,MOH,Walapane,,2,"MOH Office Walapane, Walapane",052-2279135,mwalapane@gmail.com,,
531,PNE0013912,Nuwara Eliya ,Nuwara Eliya,RDHS,Nuwara Eliya MC,,2,"RDHS Office Nuwara Eliya, Hawa Eliya",052-2223830,planningnuwaraeliya@gmail.com,,
532,LNE0001107,Nuwara Eliya ,Mental Health NE,Other,Nuwara Eliya MC,,2,"Mental Health Unit, RDHS Office Nuwara Eliya, Hawa Eliya",052-2223404,,,
2019,,Nuwara Eliya ,Pallebowala,Primary Medical Care Unit,Hanguranketha,Started on 2022.07.28,2,"PMCU Pallebowela, Hanguranketha",,pmcupallebowela@gmail.com,,
2026,,Nuwara Eliya ,RMSD - Nuwara Eliya,Other,New,,2,RMSD - Nuwara Eliya,,,,
533,LGL0000620,Galle,National Hospital - Galle,National Hospital,Four Gravate,TH-Karapitiya was upgraded and re-categorized as the National Hospital-Galle effected from the gazetted date of 20.06.2024 by  General Circular No. 01-30/2024,1,"Teaching Hospital, Karapitiya",091-2223341   /   091-2232176,,,
534,LGL0000638,Galle,German- Sri Lanka Friendship Hospital for Women (Teaching) - Galle,Specialized Teaching Hospital,Galle,Rename TH-Mahamodera as German- Sri Lanka Friendship Hospital for Women (Teaching) - Galle with immediate effect by General Circular No:01-48/2024,1,"Teaching Hospital, Mahamodara",091-2222261  /   091-2223835-36,,,
535,PGL0004846,Galle,Balapitiya,Base Hospital-Type A,Balapitiya,,2,"Medical Superintendent,  Base Hospital ,  Balapitiya",0912258261/0912256330,bhbhealth.gov@gmail.com  / bhbmedicalrecordunit@gmail.com,,
536,PGL0004853,Galle,Elpitiya,Base Hospital-Type A,Elpitiya,,2,"Medical Superintendent,  Base Hospital, Elpitiya",912291261,bhelpitiya@yahoo.com    /    medicalstatisticsunitbhe@gmail.com,,
537,PGL0004861,Galle,Udugama,Base Hospital-Type A,Udugama,BHA- Upgraded as BHA from Genaral Circular No: 01-45 / 2021  Date 09.12.2021,2,"Medical Superintendent, Base Hospital, Udugama",091-2285061,udugamahospital@gmail.com,,
538,PGL0004879,Galle,Ambalangoda,Divisional Hospital-Type A,Ambalangoda,,2,"District Medical Officer,Divisional  Hospital,, Ambalngoda ",091-2258444,dh.ambalangoda25@gmail.com,,
539,PGL0004887,Galle,Baddegama,Divisional Hospital-Type A,Baddegama,,2,"District Medical Officer, Divisional  Hospital,, Baddegama ",091-2293762,dhbaddegama@gmail.com,,
540,PGL0004895,Galle,Batapola,Divisional Hospital-Type B,Ambalangoda,,2," Medical Officer  Incharge, Divisional  Hospital,, Batapola ",091-226164,dhbatapola25@gmail.com,,
541,PGL0004903,Galle,Bentota,Divisional Hospital-Type B,Induruwa,,2,"Medical Officer  Incharge, Divisional  Hospital, Bentota ",034-2275260,dhbbentota@gmail.com,,
542,PGL0004911,Galle,Karandeniya,Divisional Hospital-Type B,Karandeniya,,2,"District Medical Officer, Divisional  Hospital,, Borakanda, Karandeniya ",091-2291263,dhkarandeniyaborakanda@gmail.com,,
543,PGL0004929,Galle,Hikkaduwa,Divisional Hospital-Type B,Gonapinuwala,,2,"Medical Officer, Divisional  Hospital, Hikkaduwa ",091-2277261,dhshikkaduwa@gmail.com,,
544,PGL0004937,Galle,Hiniduma,Divisional Hospital-Type B,Thawalama,,2,"District Medical Officer, Divisional  Hospital,, Hiniduma ",091-3783035,hinidumahospital@gmail.com,,
545,PGL0004945,Galle,Imaduwa,Divisional Hospital-Type B,Welivitiya,,2,"District Medical Officer, Divisional  Hospital, Imaduwa ""Walipitiya",091-2286061,districthospitalimaduwa@gmail.com,,
546,PGL0004960,Galle,Unawatuna,Divisional Hospital-Type B,Habaraduwa,Mental Rehabilitation Hospital / No Maternity Wards,2,"District Medical Officer, Divisional  Hospital, Unawatuna ",091-2234020,dhunawatuna@gmail.com,,
547,PGL0004978,Galle,Ahangama,Divisional Hospital-Type C,Habaraduwa,,2,"Medical Officer, Divisional  Hospital, Ahangama ",091-2283261,dhahangama@gmail.com,,
548,PGL0004986,Galle,Habaraduwa,Divisional Hospital-Type C,Habaraduwa,,2,"Medical Officer Incharge, Divisional  Hospital Habaraduwa ",091-2283262,d.h.c.habaraduwa@gmail.com,,
549,PGL0004994,Galle,Induruwa,Divisional Hospital-Type C,Induruwa,,2,"Medical Officer,Divisional Hospital , Induruwa ",034-2274055       (Fax 034-2274055),dhinduruwa19@gmail.com,,
550,PGL0005009,Galle,Madampagama,Divisional Hospital-Type C,Hikkaduwa,,2,"Medical Officer, Divisional Hospital,  Madampagama ",091-2253252,dhmadampagama@gmail.com,,
551,PGL0005017,Galle,Nagoda,Divisional Hospital-Type C,Udugama,,2,"Medical Officer, Divisional Hospital, Nagoda ",091-2296375,nagodagh@gmail.com,,
552,PGL0004952,Galle,Neluwa,Divisional Hospital-Type B,Neluwa,DHB  -  Upgraded as DHB from circular no. 01-18 / 2020 Date 03.03.2020,2,"Registerd Medical Officer,  Divisional  Hospital, Neluwa ",091-2285286,dhneluwa@gmail.com,,
553,PGL0005025,Galle,Niyagama,Divisional Hospital-Type C,Niyagama,No Maternity Wards,2,"Registerd Medical Officer, Divisional  Hospital, Niyagama ",091-2296446,dhniyagama@gmail.com,,
554,PGL0005041,Galle,Rathgama,Divisional Hospital-Type C,Rathgama,,2,"Medical Officer, Divisional Hospital, Ratgama ",091-2267261,rathgamahospital@gmail.com,,
555,PGL0005066,Galle,Uragahasmandiya,Divisional Hospital-Type C,Karandeniya,Maternity ward  (Not functioning),2,"Medical Officer,Divisional Hospital, Uragasmanhandiya ",091-2264061  /   070-5012557,dhuragasmanhandiya@gmail.com/dhuragaha2@gmail.com,,
556,PGL0005314,Galle,Wanduramba,Primary Medical Care Unit,Baddegama,,2,"*Medical Officer Incharge, PMCU, Wanduraba",091-2292361  /  077-7141466,pmcuwanduramba@gmail.com,,
557,LGL0000646,Galle,OHC Habaraduwa,Other,Habaraduwa,Provincial - Conformed by RDHS (2016.07.08) ,2,"  Medical Officer Incharge ,Ocupational Health Center, Habaraduwa",091-2282002   /   077-8097606,ohchabaraduwa2021@gmail.com,,
558,LGL0005074,Galle,Prison Hospital - Galle,Prison Hospital,Galle MC,,3,Prison - Galle,091-4677541,,,
559,PGL0005082,Galle,Agaliya,Primary Medical Care Unit,Waliwitiya - Divithura,,2,"Medical Officer Incharge, Divisional Hospital,  Agaliya",773203400,pmcuagaliya@gmail.com,,
560,PGL0005090,Galle,Ahangama,Primary Medical Care Unit,Habaraduwa,,2,"Medical Officer Incharge,Primary medical care unit , Ahangama",078-2409091/0912285627,ahangamapmcumo1@gmail.com,,
561,PGL0005108,Galle,Ahungalla,Primary Medical Care Unit,Balapitiya,,2,"Medical Officer Incharge,Primary medical care unit, Ahungalla",715875505,pmcuahungalla@gmail.com,,
563,PGL0005124,Galle,Ambalangoda,Primary Medical Care Unit,Ambalangoda,,2,"Medical Officer Incharge,PMCU,Ambalangoda",07-4171065,ambalangodapmcu@gmail.com,,
564,PGL0005132,Galle,Amugoda,Primary Medical Care Unit,Elpitiya,,2," Medical Officer Incharge, PMCU, Amugoda",714399812,pmcuamugoda@gmail.com,,
565,PGL0005140,Galle,Gintota,Primary Medical Care Unit,Bope - Poddala,,2,"Medical Officer Incharge,Primary medical care unit,  Kurunduwatta,Gintota",077-7905024 /0770772547,pmcugintotamo1@gmail.com,,
566,PGL0005157,Galle,Haburugala,Primary Medical Care Unit,Induruwa,,2,"Medical Officer Incharge,Primary medical care unit  ,Horawala,Haburugala",0342274149,pmcuhaburugala@gmail.com,,
567,PGL0005165,Galle,Halvitigala,Primary Medical Care Unit,Thawalama,,2,"Medical Officer Incharge ,Primary medical care unit ,   Halwitigala",0769169800,pmcuhalwitigala@gmail.com,,
568,PGL0005173,Galle,Hammaliya,Primary Medical Care Unit,Baddegama,,2,"Medical Officer Incharge, ,Primary medical care unit  ,  Hammeliya",0779546277,pmcuhemmaliya1@gmail.com,,
569,PGL0005181,Galle,Hikkaduwa,Primary Medical Care Unit,hikkaduwa,,2,"  Medical Officer Incharge ,Primary medical care unit ,   Hikkaduwa",0775344307,pmcuhikkaduwa@gmail.com,,
570,PGL0005199,Galle,Hipankanda,Primary Medical Care Unit,Karandeniya,,2,"  Medical Officer Primary medical care unit  , Hipankanda",0912299701 /071080976,pmcuhipankanda@gmail.com,,
571,PGL0005207,Galle,Kahaduwa,Primary Medical Care Unit,Elpitiya,,2,"Registerd  Medical Officer Primary medical care unit  ,   Kahaduwa",0776958285,pmcukahaduwa@gmail.com,,
572,PGL0005215,Galle,Kirindiela,Primary Medical Care Unit,Gonapinuwala,,2,"Medical Officer Incharge,, Primary medical care unit, Kirindiela,Meetiyagoda.",0767614706/0912262304,chandralalsisil@gmail.com,,
573,PGL0005223,Galle,Kosgoda,Primary Medical Care Unit,Balapitiya,,2,"Medical Officer Incharge,Primary medical care unit ,  Kosgoda",0768944960/0912265869,pmcukosgoda@gmail.com,,
574,PGL0005231,Galle,Lankagama,Primary Medical Care Unit,Neluwa,,2,"Medical Officer Incharge, Primary medical care unit  ,  Lankagama",0772502613,pmculankagama@gmail.com,,
575,PGL0005249,Galle,Mahainduruwa,Primary Medical Care Unit,Induruwa,,2," Medical Officer Incharge,Primary medical care unit,Maha Induruwa",0717252764,renukakumudini2017@gmail.com,,
576,PGL0005256,Galle,Matthaka,Primary Medical Care Unit,Niyagama,,2,"  Medical Officer Incharga, Primary medical care unit ,   Matthaka",0775186370,ajithepa@gmail.com,,
577,PGL0005264,Galle,Nakiyadeniya,Primary Medical Care Unit,Yakkalamulla,,2,"Medical Officer Incharge,Primary medical care unit ,Nakiyadeniya",0779040627/09185626,pmcunakiyadeniya2007@gmail.com,,
578,PGL0005272,Galle,Omattha,Primary Medical Care Unit,Elpitiya,,2,"Registerd  Medical Officer Primary medical care unit  ,  Omaththa,Ganegoda",0716190290,srwithanagetha62@gmail.com,,
579,PGL0005033,Galle,Opatha,Divisional Hospital-Type C,Thawalama,,2," Medical Officer Incharge, PMCU, Opatha",,,,
580,PGL0005280,Galle,Pilana,Primary Medical Care Unit,Akmeemana,,2,"Medical Officer Incharge, Primary medical care unit,  Pilana",0763579407,pilanapmcu@gmail.com,,
581,PGL0005298,Galle,Pitigala,Divisional Hospital-Type C,Niyagama,DHC- Upgraded asDHC from Genaral Circular No: 01-46 / 2021  Date 09.12.2021  -  But indoor wards|& Maternity ward functioning ,2,"Medical Officer Incharge, Divisional  Hospital,, Pitigala",0719722950,pmcupitigala@gmail.com,,
582,PGL0005058,Galle,Thalapitiya,Divisional Hospital-Type C,M.C.Galle,,2,"Medical Officer Incharge, Divisional  Hospital,, Thalapitiya",0912234468,divisionalhthalapitiya@gmail.com,,
583,PGL0005306,Galle,Thelikada,Primary Medical Care Unit,Baddegama,,2,"Medical Officer Incharge, PMCU, Thelikada",0912298095,pmcuthelikada@gmail.com,,
584,PGL0005322,Galle,Yakkalamulla,Primary Medical Care Unit,Yakkalamulla,,2,"Medical Officer Incharge, PMCU, Yakkalamulla",0764933293,no,,
585,PGL0005553,Galle,"Devananda M.V., Ambalangoda",ADC,Ambalangoda,,2,"Dental Surgeon, Adolecent Dental Clinic,  Devananda (Devananda College)",0775101406,jdevappriya@gmail.com,,
586,PGL0005561,Galle,Ginthota,ADC,Bope-Poddala,,2,"Dental Surgeon, Adolecent Dental Clinic,  Gintota (Sahera Mahavidyalaya)",0772337295,,,
587,PGL0005579,Galle,Mahabodhi M.V.-Panangala,ADC,Thawalama,,2,"Dental Surgeon, Adolecent Dental Clinic, Panagala (Panangala Mahabodi)",0761161425,,,
588,PGL0005587,Galle,Pilana M.V,ADC,Akmeemana,,2,"Dental Surgeon, Adolecent Dental Clinic, Pilana (widyathodaya Widyalayalaya)",0710630795,,,
589,PGL0005595,Galle,Pitigala,ADC,Niyagama,,2,"Dental Surgeon,  Adolecent Dental Clinic, Pitigala  (CD Pitigala)",0714263797,yamini85@gmail.com,,
590,PGL0005603,Galle,"Seevali M.V., Ethkadura",ADC,Weliwita Divuthura,,2,"Dental Surgeon, Adolecent Dental Clinic,  Ethkadura (Ethkadura Sevalee)",0712415092,dissanayakelakmini3@gmail.com,,
591,PGL0005611,Galle,St.Aloysious College,ADC,MC Galle,,2,"Dental Surgeon, Adolecent Dental Clinic, Alloysious ( St Aloysious College)",0773631355,dayananda1964@hotmail.com,,
592,PGL0005629,Galle,Yakkalamulla,ADC,Yakkalamulla,,2,"Dental Surgeon ,  Adolecent Dental Clinic,  Yakkalamulla (DC Yakkalamullla)",0777842956,2016priyangika@gmail.com,,
593,PGL0005330,Galle,Akmeemana,MOH,Akmeemana,,2,"Medical Officer of Health,  MOH Office, Kuruduwaththa,Walahanduwa",0913922261,mohofficeakmeemana@gmail.com,,
594,PGL0005348,Galle,Ambalangoda,MOH,Ambalangoda,,2,"Medical Officer of Health, MOH Office, Ambalangoda ",0912258278,moh.ambalangoda@gmail.com,,
595,PGL0005355,Galle,Baddegama,MOH,Baddegama,,2,"Medical Officer of Health, MOH Office, Baddegama ",0912292278,mohbaddegama@gmail.com,,
596,PGL0005363,Galle,Balapitiya,MOH,Balapitiya,,2,"Medical Officer of Health, MOH Office,  Ahungalla,Balapitiya",0912264485,mohbalapitiya@gmail.com,,
597,PGL0005371,Galle,Bentota / Induruwa,MOH,Bentota  /   Induruwa,,2,"Medical Officer of  Health, MOH Office, Induruwa ",0342274292,mohinduruwa@gmail.com,,
598,PGL0005389,Galle,Bope - Poddala,MOH,Bope - Poddala,,2,"Medical Officer of Health,  MOH Office, Godakanda,Bopepoddala ,Galle",0912222442,moh.bopepoddala@gmail.com,,
599,PGL0005397,Galle,Elpitiya,MOH,Elpitiya,,2,"Medical Officer of Health, MOH Office, Elpitiya ",0912291102,mohofficeelpitiya@gmail.com,,
600,PGL0005413,Galle,Gonapinuwala,MOH,Gonapinuwala,,2,"Medical Officer of Health,  MOH Office, Near The Arachchi kanda Hospital, Gonapinuwala ",0912276079,mohofficegonapinuwala@gmail.com,,
601,PGL0005421,Galle,Habaraduwa,MOH,Habaraduwa,,2,"Medical Officer of Health,  MOH Office,  Habaraduwa ",0912283850,habaraduwamoh @gmail.com,,
602,PGL0005439,Galle,Hikkaduwa,MOH,Hikkaduwa,,2,"Medical Officer  of Health,  MOH Office,   Hikkaduwa ",0912277508,mohhikkaduwa@gmail.com,,
603,PGL0005447,Galle,Imaduwa,MOH,Imaduwa,,2,"Medical Officer  of Health,  MOH Office,   Imaduwa",0912286534,mohofficeimaduwa@gmail.com,,
604,PGL0005454,Galle,Karandeniya,MOH,Karandeniya,,2,"Medical Officer of  Health,  MOH Office,  Karandeniya ",0912290544,mohkarandeniya@gmail.com,,
605,PGL0005405,Galle,MC Galle,MOH,M.C.Galle,,2,"Medical Officer of Health,   MOH Office,  Galle MC ",0912234378,gallemohgalle@gmail.com,,
606,PGL0005462,Galle,Nagoda / Udugama,MOH,Udugama,,2,"Medical Officer  of Health,  MOH Office,   Udugama ",0912295081/0711633933,mohofficeudugama@gmail.com,,
607,PGL0005470,Galle,Neluwa,MOH,Neluwa,,2,"Medical Officer of Health, MOH Office, Neluwa ",0913127859,mohofficeneluwa@gmail.com,,
608,PGL0005488,Galle,Niyagama,MOH,Niyagama,,2,"Medical Officer of  Health,  MOH Office,  Thalgaswala, Niyagama ",0912296526,mohniyagama@gmail.com,,
609,PGL0005504,Galle,Thawalama,MOH,Thawalama,,2,"Medical Officer  of Health, MOH Office, Near the Hiniduma Hospital,Thawalama ",0717970472,mohofficethawalama@gmail.com,,
610,PGL0005512,Galle,Walivitiya - Divithura,MOH,Waliwitiya - Divithura,,2,"Medical Officer  of Health,  MOH Office, Welivitiyadivitura ,Agaliya.",0912261904,mohofficewalivitiya@gmail.com,,
611,PGL0005520,Galle,Yakkalamulla,MOH,Yakkalamulla,,2,"Medical Officer of  Health, MOH Office,   Yakkalamulla ",0763643885/0912286969,mohyakkalamulla@gmail.com,,
612,PGL0004838,Galle,Galle,RDHS,Habaraduwa,,2,"Regional Director of Health Services, RDHS office,Unawatuna",0912226625 /0763480675,rdhsgalleplannig@gmail.com,,
614,LGL0000661,Galle,NTS Galle,NTS,MC Galle,,1,,091-2234452,,,
615,PGL0004812,Galle,Southern Province,PDHS,MC Galle,,2,"Provincial Director Of Health services office,  Lower Dicson Road, Galle                  ",091-2246739,pdhssp@yahoo.com,,
616,,Galle,Anti Leprosy Programme,Other,Habaraduwa,,2," Regional Epidemiologist ,Rabies Campaign,  District Director Of Health Service office ,Rabeise Unite    ,No211,Wakwella road ,   Galle",0912234170,,,
617,,Galle,Fillaria Control Unit,Other,Habaraduwa,,2,"Medical Officer Filaria,  District Director Of Health Service office ,Filaria Unit,No.211,Wakwella road,  Galle",0913096814,vbcugalle@gmail.com,,
618,LGL0000653,Galle,Port Health office Galle,Other,,,1,,091-2232213,,,
619,PGL0004820,Galle,Provincial Ministry,Other,Bope Poddala,,2,"Chief Ministry- Southern Province, No. 15A, Lower Dickson Road, Galle",091-2234024         091-2222449,,,
620,,Galle,Rabies Control Unit,Other,Habaraduwa,,2," Regional Epidemiologist ,Rabies Campagn,  District Director Of Health Service office ,Rabeise Unite    ,No211,Wakwella road ,   Galle",0712399936,nandasirisamaradheera@gmail.com,,
621,,Galle,Regional Drugs Stores,Other,Habaraduwa,Regional Medical Supply Division - Galle,2,"Officer Incharge-OIC (RMSD) Regional Medical Supply Division, Galle",912223829,rmsd.galle@gmail.com,,
622,,Galle,Thasim Chest Clinic,Chest Clinic,MC Galle,,2,"Medical Officer, Thasim Chest Clinic, Wakwella road   , Galle",0912234196,dtcogle1@gmail.com,,
623,,Galle,VD Clinic - Balapitiya,STD Clinic,Balapitiya,,2,"Medical Officer, STD Clinic, Balapitiya",091-2285266    /   077-1115111,,,
1760,,Galle,Rathgama,MOH,Rathgama,,2,"Medical Officer of  Health,  MOH Office,  Rathgama",0912267030,mohrathgama@yahoo.com,,
1761,,Galle,RMSD-Galle,Other,Habaraduwa,,2,"Regional Drugs Stores , Unawatuna, Galle",091-2223829,,,
1762,PGL0005637,Galle,Regional Training Centre-Galle,Other,Habaraduwa,,2,"Regional Training Centre, Matara Rd,  Galle",091-2234278,,,
1763,,Galle,STD/AIDS Clinic-Galle (Mahamodara),STD Clinic,Galle,,1,"TH Mahamodara, Galle",091-2255447,,,
1908,,Galle,Navy Hospital - Boossa - NH (SC),Navy Hospital,,,3,"Naval Hospita (SC), SLNS Nipuna, Pitiwella, Boossa", ,,,
2007,,Galle,Bio Medical Engineering Unit,Other,New,,2,,,,,
2008,,Galle,Provincial Engineering Unit - Southern Province,Other,New,,2,,,,,
2018,,Galle,Dellawa,Primary Medical Care Unit,New,Starting from 4th quarter 2022,2,"Medical Officer Incharge,Primary medical care unit ,  Dellawa",773061992,nalakasirantha282@gmail.com,,
624,LMR0001073,Matara,Matara,District General Hospital,Matara  MC,,1,,041-2222261 -62,,,
625,PMR0012856,Matara,Deniyaya,Base Hospital-Type B,Kotapola,,2,"Base Hospital, Deniyaya",041-2273261     /      041-2273177,deniyayabh@gmail.com,,
626,PMR0012849,Matara,Kamburupitiya,Base Hospital-Type A,Kamburupitiya,,2,"Base Hospital, Kamburupitiya",041-2292261     /     041-2293323 ,bhkamburupitiya@gmail.com,,
627,PMR0012864,Matara,Akuressa,Divisional Hospital-Type A,Akuressa,,2,"Divisional Hospital,Akuressa.",041-2283261,akurassadh@gmail.com,,
628,PMR0012914,Matara,Gangodagama,Divisional Hospital-Type B,Hakmana,,2,"Divisional Hospital, Gangodagama",041-2286261,dhgangodagama@gmail.com,,
629,PMR0012872,Matara,Mawarala,Divisional Hospital-Type A,Pasgoda,,2,"MOIC, Divisional Hospital, Mawarala.",041-2291261,divisionalhospitalmawarala@gmail.com,,
630,PMR0012922,Matara,Morawaka,Divisional Hospital-Type B,Morawaka,,2,"Divisional Hospital , Morawaka.",041-2282261,dhmorawaka@gmail.com,,
631,PMR0012930,Matara,Narawelpita,Divisional Hospital-Type B,Hakmana,,2,"Divisional Hospital, Narawelpita",041-2286262,dhnarawelpita@yahoo.com,,
632,PMR0012948,Matara,Urubokka,Divisional Hospital-Type B,Pasgoda,,2,"Divisional Hospital, Urubokka.",041-2272261,dhurubokka@gmail.com,,
633,PMR0012880,Matara,Weligama,Divisional Hospital-Type A,Weligama,,2,"Divisional Hospital, Weligama.",041-2250261,divisionalhospitalweligama@gmail.com,,
634,PMR0012963,Matara,Pallegama,Divisional Hospital-Type C,Kotapola,"Functioning as a PMCU, No inwards Facilities",2,"Divisional Hospital, Pallegama",041-2273462,pallegamacd@gmail.com,,
635,PMR0012971,Matara,Ruhunugama,Divisional Hospital-Type C,Kamburupitiya,,2,"Divisional Hospital, Ruhunugama",041-2273462,ruhunugamarh@gmail.com,,
636,PMR0012989,Matara,Talalla,Divisional Hospital-Type C,Devinuwara,,2,"Divisional Hospital, Talalla",041-2259261,divisionalthalalla@gmail.com,,
637,PMR0012997,Matara,Urugamuwa,Divisional Hospital-Type C,Dikwella,,2,"Divisional Hospital, Urugamuwa",041-2255161,dhurugamuwa@gmail.com,,
638,,Matara,Chest Clinic,Chest Clinic,Matara M.C.,,2,"Chest clinic, Matara",041-2222134,dtcomtr@gmail.com,,
639,,Matara,STD Clinic,STD Clinic,Matara M.C.,,2,"STD clinic, DGH Matara",041-2232302,stdmatara@gmail.com,,
640,PMR0013003,Matara,Beralapanatara,Primary Medical Care Unit,Pasgoda,,2,"PMCU, Beralapanatara",041-2272262,beralapanatharahos@gmail.con,,
641,PMR0013011,Matara,Dehigaspe,Primary Medical Care Unit,Morawaka,,2,"PMCU, Dehigaspe",041-3495789,pmcudehi@gmail.com,,
642,PMR0012898,Matara,Deiyandara,Divisional Hospital-Type B,Mulatiyana,,2,"Divisional Hospital, Deiyandara, ",041-2268261,dhdeiyandarab@gmail.com,,
643,PMR0013029,Matara,Denipitiya,Primary Medical Care Unit,Welipitiya,,2,"PMCU, Denipitiya",041-3444952,denipitiyapmcu@gmail.com ,,
644,PMR0013037,Matara,Derangala,Primary Medical Care Unit,Morawaka,,2,"PMCU, Derangala",041-3444955,pmcuderangala@gmail.com ,,
645,PMR0013045,Matara,Devundara / Devinuwara,Primary Medical Care Unit,Devinuwara,,2,"PMCU, Devinuwara",041-3444954,pmcudevinuwara@gmail.com ,,
646,PMR0012906,Matara,Dickwella,Divisional Hospital-Type B,Dikwella,,2,"Divisional Hospital, Dickwella",041-2255261,dhdeiyandarab@gmail.com,,
647,PMR0013052,Matara,Galbokka,Primary Medical Care Unit,Weligama,,2,"PMCU, Galbokka",041- 2250161,galbokkapmcu@gmail.com ,,
648,PMR0013060,Matara,Hakmana,Primary Medical Care Unit,Hakmana,,2,"PMCU, Hakmana",041-2288025,pmcu.hakmana@@gmail.com   ,,
649,PMR0013078,Matara,Horagoda,Primary Medical Care Unit,Malimbada,,2,"PMCU, Horagoda",041-3444956,pmcuhoragoda@gmail.com ,,
650,PMR0013086,Matara,Kamburugamuwa,Primary Medical Care Unit,Weligama,,2,"PMCU, Kamburugamuwa",041-2222589,pmcukamburugamuwa@gmail.com ,,
651,PMR0013102,Matara,Kekanadura,Primary Medical Care Unit,Kekanadura,,2,"PMCU, Kekanadura",041-2265997,pmcukakenadura@gmail.com ,,
652,PMR0012955,Matara,Kirinda-Puhulwella,Divisional Hospital-Type C,Kirinda - Puhulwella,"Functioning as a PMCU, No inwards Facilities",2,"Divisional Hospital, Kirinda Puhulwella",041-2286464,pmcupuhulwella@gmail.com ,,
653,PMR0013110,Matara,Kotapola (Kosmodara),Divisional Hospital-Type C,Kotapola,"Functioning as a PMCU, No inwards Facilities",2,"Divisional Hospital,, Kotapola",041-2271261,cdkotapola@gmail.com,,
654,PMR0013128,Matara,Makandura,Primary Medical Care Unit,Mulatiyana,,2,"PMCU, Makandura",041-2268262,pmcumakandura@gmail.com,,
655,PMR0013136,Matara,Maramba,Primary Medical Care Unit,Akuressa,,2,"PMCU, Maramba",041-3444957,marambapmcu2021@gmail.com,,
656,PMR0013144,Matara,Midigama,Divisional Hospital-Type C,Weligama,"Functioning as a PMCU, No inwards Facilities",2,"Divisional Hospital, Midigama",041-2253263,pmcumidigama@gmail.com ,,
657,PMR0013151,Matara,Mirissa,Primary Medical Care Unit,Weligama,,2,"PMCU, Mirissa",041-2250269,pmcumirissa@gmail.com,,
